Fiscal Year,Program Area,Department,Budget Unit,Major Object,Expense Category,Account Name,Approved Amount,Recommended Amount
2013,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,1638311.00,1519785.00
2014,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,1699147.00,1699147.00
2015,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Salaries & Employee Benefits,Salaries & Benefits,Salaries & Wages,1715959.00,1715959.00
2015,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,6536500.00,6536500.00
2014,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,7964000.00,7964000.00
2013,Public Assistance,Workforce and Benefits Administration,Workforce Investment Board,Discretionary Services & Supplies,Services & Supplies,SERVICES AND SUPPLIES,9123011.00,9123011.00
2015,Public Protection,District Attorney,District Attorney,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-900914.00,-900914.00
2014,Public Protection,District Attorney,District Attorney,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-832846.00,-832846.00
2013,Public Protection,District Attorney,District Attorney,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-817597.00,-817597.00
2015,Public Protection,District Attorney,District Attorney,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,977015.00,981935.00
2014,Public Protection,District Attorney,District Attorney,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1018098.00,1086156.00
2013,Public Protection,District Attorney,District Attorney,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1146423.00,1146423.00
2013,Public Protection,District Attorney,District Attorney,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4321881.00,4321881.00
2014,Public Protection,District Attorney,District Attorney,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4366274.00,4372691.00
2015,Public Protection,District Attorney,District Attorney,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4637651.00,4693302.00
2013,Public Protection,District Attorney,District Attorney,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,47550042.00,47584636.00
2014,Public Protection,District Attorney,District Attorney,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,48476059.00,48961293.00
2015,Public Protection,District Attorney,District Attorney,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,52133889.00,51893776.00
2014,Public Protection,District Attorney,District Attorney Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,26690.00,26690.00
2014,Public Protection,District Attorney,District Attorney Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,222471.00,222471.00
2013,Public Protection,District Attorney,District Attorney Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,253656.00,253656.00
2015,Public Protection,District Attorney,District Attorney Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,311961.00,311961.00
2014,Public Protection,District Attorney,District Attorney Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,4688687.00,4688687.00
2013,Public Protection,District Attorney,District Attorney Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,5039496.00,5039496.00
2015,Public Protection,District Attorney,District Attorney Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,5073488.00,5073488.00
2014,Public Protection,District Attorney,District Attorney Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1250000.00,1250000.00
2015,Public Protection,District Attorney,District Attorney Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1250000.00,1250000.00
2013,Public Protection,District Attorney,Family Justice Center,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,161356.00,161356.00
2014,Public Protection,District Attorney,Family Justice Center,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,336398.00,336398.00
2015,Public Protection,District Attorney,Family Justice Center,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,336398.00,336398.00
2014,Public Protection,District Attorney,Family Justice Center,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,354641.00,354641.00
2015,Public Protection,District Attorney,Family Justice Center,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,379133.00,379641.00
2013,Public Protection,District Attorney,Family Justice Center,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,381867.00,381867.00
2015,Public Protection,District Attorney,Family Justice Center,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,427670.00,427670.00
2013,Public Protection,District Attorney,Family Justice Center,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,468726.00,560716.00
2014,Public Protection,District Attorney,Family Justice Center,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,480404.00,480404.00
2015,Public Protection,District Attorney,Grand Jury,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,48773.00,49021.00
2013,Public Protection,District Attorney,Grand Jury,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,55129.00,55129.00
2014,Public Protection,District Attorney,Grand Jury,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,55257.00,55257.00
2015,Public Protection,District Attorney,Grand Jury,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,64238.00,64238.00
2013,Public Protection,District Attorney,Grand Jury,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,64238.00,64238.00
2014,Public Protection,District Attorney,Grand Jury,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,64238.00,64238.00
2013,Public Protection,District Attorney,Grand Jury,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,326885.00,326885.00
2014,Public Protection,District Attorney,Grand Jury,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,329170.00,329170.00
2015,Public Protection,District Attorney,Grand Jury,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,350207.00,350207.00
2013,Public Protection,District Attorney,Welfare Fraud Investigation,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2200000.00,-2200000.00
2014,Public Protection,District Attorney,Welfare Fraud Investigation,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2024705.00,-2024705.00
2015,Public Protection,District Attorney,Welfare Fraud Investigation,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-2000000.00,-2000000.00
2015,Public Protection,District Attorney,Welfare Fraud Investigation,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,56571.00,56571.00
2014,Public Protection,District Attorney,Welfare Fraud Investigation,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,56571.00,56571.00
2013,Public Protection,District Attorney,Welfare Fraud Investigation,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,56571.00,56571.00
2015,Public Protection,District Attorney,Welfare Fraud Investigation,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,214457.00,217144.00
2014,Public Protection,District Attorney,Welfare Fraud Investigation,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,216944.00,216944.00
2013,Public Protection,District Attorney,Welfare Fraud Investigation,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,241767.00,241767.00
2014,Public Protection,District Attorney,Welfare Fraud Investigation,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2213212.00,2213212.00
2013,Public Protection,District Attorney,Welfare Fraud Investigation,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2228365.00,2101781.00
2015,Public Protection,District Attorney,Welfare Fraud Investigation,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,2443618.00,2443618.00
2015,Public Protection,Information Technology Department,CORPUS Realignment,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1290500.00,1290500.00
2014,Public Protection,Information Technology Department,CORPUS Realignment,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1350000.00,1350000.00
2015,Public Protection,Probation Department,Probation Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-9388495.00,-9388495.00
2014,Public Protection,Probation Department,Probation Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-8643934.00,-8276898.00
2013,Public Protection,Probation Department,Probation Administration,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-685816.00,-685816.00
2015,Public Protection,Probation Department,Probation Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,88120.00,665904.00
2014,Public Protection,Probation Department,Probation Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,761475.00,832300.00
2013,Public Protection,Probation Department,Probation Administration,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,816283.00,816283.00
2013,Public Protection,Probation Department,Probation Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1741798.00,1741798.00
2014,Public Protection,Probation Department,Probation Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1939926.00,1939926.00
2015,Public Protection,Probation Department,Probation Administration,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2053699.00,2206888.00
2013,Public Protection,Probation Department,Probation Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,6101029.00,6101029.00
2014,Public Protection,Probation Department,Probation Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,6666902.00,6229041.00
2015,Public Protection,Probation Department,Probation Administration,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,7817856.00,7240072.00
2014,Public Protection,Probation Department,Probation Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,173310.00,173310.00
2015,Public Protection,Probation Department,Probation Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,193962.00,196262.00
2013,Public Protection,Probation Department,Probation Grants,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,351292.00,351292.00
2014,Public Protection,Probation Department,Probation Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1226425.00,1108924.00
2013,Public Protection,Probation Department,Probation Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1906082.00,1906082.00
2015,Public Protection,Probation Department,Probation Grants,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,2197676.00,1953965.00
2015,Public Protection,Probation Department,Probation Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3843062.00,4086773.00
2013,Public Protection,Probation Department,Probation Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3876719.00,3876719.00
2014,Public Protection,Probation Department,Probation Grants,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,4013770.00,4131271.00
2013,Public Protection,Probation Department,Probation Juvenile Field Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-12000000.00,-12000000.00
2014,Public Protection,Probation Department,Probation Juvenile Field Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-9905100.00,-9905100.00
2015,Public Protection,Probation Department,Probation Juvenile Field Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-9905000.00,-9905000.00
2015,Public Protection,Probation Department,Probation Juvenile Field Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,36000.00,36000.00
2014,Public Protection,Probation Department,Probation Juvenile Field Services,Fixed Assets,Fixed Assets,Total of Fixed Assets,36000.00,36000.00
2014,Public Protection,Probation Department,Probation Juvenile Field Services,Other Charges,Other Charges,Total of Other Charges,100000.00,100000.00
2015,Public Protection,Probation Department,Probation Juvenile Field Services,Other Charges,Other Charges,Total of Other Charges,325000.00,325000.00
2013,Public Protection,Probation Department,Probation Juvenile Field Services,Other Charges,Other Charges,Total of Other Charges,361594.00,361594.00
2013,Public Protection,Probation Department,Probation Juvenile Field Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1306396.00,1306396.00
2015,Public Protection,Probation Department,Probation Juvenile Field Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1322071.00,1340928.00
2014,Public Protection,Probation Department,Probation Juvenile Field Services,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1329581.00,1329581.00
2013,Public Protection,Probation Department,Probation Juvenile Field Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,13712307.00,13712320.00
2013,Public Protection,Probation Department,Probation Juvenile Field Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,15328719.00,15328706.00
2014,Public Protection,Probation Department,Probation Juvenile Field Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,15364490.00,16311228.00
2015,Public Protection,Probation Department,Probation Juvenile Field Services,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,15386041.00,15430210.00
2014,Public Protection,Probation Department,Probation Juvenile Field Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,15465627.00,14747265.00
2015,Public Protection,Probation Department,Probation Juvenile Field Services,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,16988678.00,16944509.00
2013,Public Protection,Probation Department,Probation Juvenile Institutions,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3656253.00,3656253.00
2014,Public Protection,Probation Department,Probation Juvenile Institutions,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5677786.00,5677786.00
2015,Public Protection,Probation Department,Probation Juvenile Institutions,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5691142.00,5868263.00
2013,Public Protection,Probation Department,Probation Juvenile Institutions,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5875958.00,5875958.00
2015,Public Protection,Probation Department,Probation Juvenile Institutions,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6236587.00,6501696.00
2014,Public Protection,Probation Department,Probation Juvenile Institutions,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,7726767.00,7474368.00
2013,Public Protection,Probation Department,Probation Juvenile Institutions,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,32152753.00,32152753.00
2014,Public Protection,Probation Department,Probation Juvenile Institutions,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,33060588.00,33183061.00
2015,Public Protection,Probation Department,Probation Juvenile Institutions,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,35043432.00,34778323.00
2015,Public Protection,Probation Department,Probation Local Comm Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,1700000.00,1700000.00
2014,Public Protection,Probation Department,Probation Local Comm Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3278866.00,3278866.00
2014,Public Protection,Probation Department,Probation Local Comm Realignment,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9500000.00,9500000.00
2015,Public Protection,Probation Department,Probation Local Comm Realignment,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,9500000.00,9500000.00
2013,Public Protection,Probation Department,Probation-Adult,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1180532.00,1180532.00
2014,Public Protection,Probation Department,Probation-Adult,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1219212.00,1249331.00
2015,Public Protection,Probation Department,Probation-Adult,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1238362.00,1250927.00
2013,Public Protection,Probation Department,Probation-Adult,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3583976.00,3583976.00
2014,Public Protection,Probation Department,Probation-Adult,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,4263153.00,5459346.00
2015,Public Protection,Probation Department,Probation-Adult,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,5205145.00,6019256.00
2014,Public Protection,Probation Department,Probation-Adult,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,8566140.00,18265079.00
2013,Public Protection,Probation Department,Probation-Adult,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,16461219.00,16461219.00
2015,Public Protection,Probation Department,Probation-Adult,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,21761740.00,20947629.00
2013,Public Protection,Public Defender,Contract Service-Indigent Defense,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,19762.00,19762.00
2014,Public Protection,Public Defender,Contract Service-Indigent Defense,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,20265.00,20265.00
2015,Public Protection,Public Defender,Contract Service-Indigent Defense,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,20783.00,20783.00
2013,Public Protection,Public Defender,Contract Service-Indigent Defense,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6618650.00,6618650.00
2014,Public Protection,Public Defender,Contract Service-Indigent Defense,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6653050.00,6653050.00
2015,Public Protection,Public Defender,Contract Service-Indigent Defense,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6653050.00,6653050.00
2014,Public Protection,Public Defender,Public Defender,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1005100.00,-605100.00
2015,Public Protection,Public Defender,Public Defender,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-1005100.00,-1005100.00
2013,Public Protection,Public Defender,Public Defender,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-200000.00,-200000.00
2013,Public Protection,Public Defender,Public Defender,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,700000.00,700000.00
2015,Public Protection,Public Defender,Public Defender,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,767121.00,963575.00
2014,Public Protection,Public Defender,Public Defender,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,963575.00,963575.00
2014,Public Protection,Public Defender,Public Defender,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3382464.00,3382464.00
2015,Public Protection,Public Defender,Public Defender,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3415225.00,3451698.00
2013,Public Protection,Public Defender,Public Defender,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,3651291.00,3651291.00
2013,Public Protection,Public Defender,Public Defender,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,28128525.00,28128525.00
2014,Public Protection,Public Defender,Public Defender,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,29118448.00,28421740.00
2015,Public Protection,Public Defender,Public Defender,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,31333726.00,30897159.00
2015,Public Protection,Sheriff's Office,Countywide - Fish & Game,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6000.00,6000.00
2013,Public Protection,Sheriff's Office,Countywide - Fish & Game,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6000.00,6000.00
2014,Public Protection,Sheriff's Office,Countywide - Fish & Game,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,6000.00,6000.00
2015,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-4545813.00,-4545813.00
2014,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-4395018.00,-4395018.00
2013,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-4242425.00,-4242425.00
2015,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Fixed Assets,Fixed Assets,Total of Fixed Assets,10000.00,10000.00
2014,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Fixed Assets,Fixed Assets,Total of Fixed Assets,40200.00,40200.00
2013,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Fixed Assets,Fixed Assets,Total of Fixed Assets,65000.00,65000.00
2014,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,173089.00,173089.00
2015,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,173089.00,173089.00
2013,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,211161.00,211161.00
2014,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,225610.00,225610.00
2013,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,228479.00,228479.00
2015,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,232515.00,235074.00
2013,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3744620.00,3744620.00
2014,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3829066.00,3829066.00
2015,Public Protection,Sheriff's Office,Countywide Consolidated Dispatch,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,3946929.00,3946929.00
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-10000.00,-10000.00
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-10000.00,-10000.00
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-10000.00,-10000.00
2015,Public Protection,Sheriff's Office,Court Security Realignment,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,102485.00,114461.00
2014,Public Protection,Sheriff's Office,Court Security Realignment,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,438188.00,438188.00
2015,Public Protection,Sheriff's Office,Court Security Realignment,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1265146.00,1265146.00
2014,Public Protection,Sheriff's Office,Court Security Realignment,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,1762725.00,2762725.00
2014,Public Protection,Sheriff's Office,Court Security Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,20158744.00,20158744.00
2015,Public Protection,Sheriff's Office,Court Security Realignment,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,20980050.00,20980050.00
2013,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Fixed Assets,Fixed Assets,Total of Fixed Assets,7500.00,7500.00
2014,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Fixed Assets,Fixed Assets,Total of Fixed Assets,7500.00,7500.00
2015,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Fixed Assets,Fixed Assets,Total of Fixed Assets,100500.00,100500.00
2014,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,160000.00,160000.00
2013,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,160000.00,160000.00
2015,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,160322.00,160322.00
2013,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,29791423.00,29791423.00
2014,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,30422470.00,30422470.00
2015,Public Protection,Sheriff's Office,Detention & Correction-Adult Detention Medical Svc,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,31823072.00,31823072.00
2013,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Fixed Assets,Fixed Assets,Total of Fixed Assets,182500.00,182500.00
2014,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Fixed Assets,Fixed Assets,Total of Fixed Assets,343500.00,343500.00
2013,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Other Financing Uses,Other Financing Uses,Total of Other Financing Uses,416638.00,416638.00
2015,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Fixed Assets,Fixed Assets,Total of Fixed Assets,695000.00,695000.00
2014,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,10765794.00,10781874.00
2013,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,10781874.00,10793236.00
2015,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,11986865.00,11986865.00
2013,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,26022634.00,26022634.00
2015,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,26059900.00,26456168.00
2014,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Non-Discretionary Services & Supplies,Services & Supplies,Total of Services & Supplies,26594782.00,26587107.00
2013,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,102814470.00,102803108.00
2014,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,113834241.00,107852961.00
2015,Public Protection,Sheriff's Office,Sheriffs - Detention & Correction,Salaries & Employee Benefits,Salaries & Benefits,Total of Salaries & Benefits,118216181.00,118268954.00
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-705000.00,-705000.00
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-705000.00,-705000.00
2015,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-65000.00,-65000.00
2014,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-65000.00,-65000.00
2013,Public Protection,Sheriff's Office,Sheriffs Countywide Services,Intra-Fund Transfer,Intra-Fund Transfers,Total of Intra-Fund Transfers,-65000.00,-65000.00
